group,variable,value
4-Mar-19,CONSUMP,0.26
4-Mar-19,FINCIAL,0.41
4-Mar-19,INDUS,0.55
4-Mar-19,PROPCON,0.19
4-Mar-19,RESOURC,0.43
4-Mar-19,SERVICE,0.5
4-Mar-19,TECH,0.13
5-Mar-19,AGRO,0.12
5-Mar-19,CONSUMP,0.7
5-Mar-19,FINCIAL,0.16
5-Mar-19,INDUS,1.13
5-Mar-19,PROPCON,0.28
5-Mar-19,RESOURC,0.52
5-Mar-19,SERVICE,0.27
5-Mar-19,TECH,0.29
6-Mar-19,AGRO,0.77
6-Mar-19,CONSUMP,0.07
6-Mar-19,FINCIAL,1.18
6-Mar-19,INDUS,1
6-Mar-19,PROPCON,0.68
6-Mar-19,RESOURC,1.15
6-Mar-19,SERVICE,0.51
6-Mar-19,TECH,0.48
7-Mar-19,AGRO,0.61
7-Mar-19,CONSUMP,0.37
7-Mar-19,FINCIAL,0.57
7-Mar-19,INDUS,0.36
7-Mar-19,PROPCON,0.28
7-Mar-19,RESOURC,0.33
7-Mar-19,SERVICE,0.74
7-Mar-19,TECH,0.25
8-Mar-19,AGRO,0.33
8-Mar-19,CONSUMP,0.25
8-Mar-19,FINCIAL,0.13
8-Mar-19,INDUS,0.7
8-Mar-19,PROPCON,0.1
8-Mar-19,RESOURC,0.44
8-Mar-19,SERVICE,0.17
8-Mar-19,TECH,0.49
11-Mar-19,AGRO,0.32
11-Mar-19,CONSUMP,0.73
11-Mar-19,FINCIAL,0.14
11-Mar-19,INDUS,0.54
11-Mar-19,PROPCON,0.13
11-Mar-19,RESOURC,0.67
11-Mar-19,SERVICE,0.02
11-Mar-19,TECH,0.2
12-Mar-19,AGRO,0.01
12-Mar-19,CONSUMP, -
12-Mar-19,FINCIAL,0.25
12-Mar-19,INDUS,0.31
12-Mar-19,PROPCON,0.01
12-Mar-19,RESOURC,0.21
12-Mar-19,SERVICE,0.02
12-Mar-19,TECH,0.32
13-Mar-19,AGRO,1.13
13-Mar-19,CONSUMP,0.55
13-Mar-19,FINCIAL,0.34
13-Mar-19,INDUS,0.02
13-Mar-19,PROPCON,0.39
13-Mar-19,RESOURC,0.92
13-Mar-19,SERVICE,1.11
13-Mar-19,TECH,0.77
14-Mar-19,AGRO,0.08
14-Mar-19,CONSUMP,0.39
14-Mar-19,FINCIAL,0.19
14-Mar-19,INDUS,0.39
14-Mar-19,PROPCON,0.08
14-Mar-19,RESOURC,0.05
14-Mar-19,SERVICE,0.48
14-Mar-19,TECH,0.51
15-Mar-19,AGRO,0.12
15-Mar-19,CONSUMP,0.09
15-Mar-19,FINCIAL,0.62
15-Mar-19,INDUS,0.15
15-Mar-19,PROPCON,0.64
15-Mar-19,RESOURC,0.29
15-Mar-19,SERVICE,1.29
15-Mar-19,TECH,0.25
18-Mar-19,AGRO,1.24
18-Mar-19,CONSUMP,0.11
18-Mar-19,FINCIAL,0.06
18-Mar-19,INDUS,0.43
18-Mar-19,PROPCON,0.35
18-Mar-19,RESOURC,0.41
18-Mar-19,SERVICE,0.82
18-Mar-19,TECH,0.52
19-Mar-19,AGRO,0.02
19-Mar-19,CONSUMP,0.52
19-Mar-19,FINCIAL,0.83
19-Mar-19,INDUS,0.95
19-Mar-19,PROPCON,0.48
19-Mar-19,RESOURC,1.24
19-Mar-19,SERVICE,0.76
19-Mar-19,TECH,0.49
20-Mar-19,AGRO,0.01
20-Mar-19,CONSUMP,0.06
20-Mar-19,FINCIAL,0.06
20-Mar-19,INDUS,0.73
20-Mar-19,PROPCON,0.15
20-Mar-19,RESOURC,0.28
20-Mar-19,SERVICE,0.05
20-Mar-19,TECH,0.33
21-Mar-19,AGRO,0.69
21-Mar-19,CONSUMP,0.24
21-Mar-19,FINCIAL,0.2
21-Mar-19,INDUS,0.85
21-Mar-19,PROPCON,0.18
21-Mar-19,RESOURC,0.64
21-Mar-19,SERVICE,0.01
21-Mar-19,TECH,1.11
22-Mar-19,AGRO,0.43
22-Mar-19,CONSUMP,0.04
22-Mar-19,FINCIAL,0.86
22-Mar-19,INDUS,1.05
22-Mar-19,PROPCON,0.69
22-Mar-19,RESOURC,0.95
22-Mar-19,SERVICE,0.58
22-Mar-19,TECH,0.74
25-Mar-19,AGRO,1.07
25-Mar-19,CONSUMP,0.64
25-Mar-19,FINCIAL,1.23
25-Mar-19,INDUS,1.86
25-Mar-19,PROPCON,0.45
25-Mar-19,RESOURC,1.64
25-Mar-19,SERVICE,1.18
25-Mar-19,TECH,1.5
